CHEMICAL NAME,CAS No.,FORMULA,MOLECULAR WEIGHT (MW),SPECIFIC GRAVITY,pH,DIPOLE MOMENT (Debye),BOILING PT (Bp °C),MELTING PT (Mp °C),TLV TWA (ppm),FR VME (ppm),MAK TRK (ppm),Olf. (ppm),NIOSH TWA (ppm),TLV TWA (mg/m³),NIOSH TWA (mg/m³),A,B,C,D,E,F,G,H,HEPA,ESCO,!,COMBINATION,NON DUCTLESS RECOMMENDED PRODUCTS
DI-n-PROPYL KETONE,122-19-3,C7H14O,114,,,,144,,50,50,,,,,,1,,,,,,,,,,,,
"1,4-DIOXANE",123-91-1,C4H8O2,88,1.03,,,101,,20,10,20,24,C1,,C3.6,1,,,,,,,,,,,,
DIOXATHION,78-34-2,C12H26O6P2S4,456,1.26,,,,-20,,,,,,0.2,0.2,,,,,,,,,,,1,,EFA
DIPHENYLAMINE,122-39-4,C12H11N,169,1.16,,,302,,,,0,,,10,10,1,,,,,,,,,,,,
DIPHENYLMETHANE DIISOCYANATE,101-68-8,C15H10N2O2,250,,,,,37,0.01,0.01,0.01,,0.001,,0.05,,,,,,,,,,,1,,EFA
DIQUAT,85-00-7,C12H12Br2N2,344,1.22-1.27,,,Decomp,,,,,,,0.5,0.5,,1,,,,,,,,,,,
DISULFIRAM,97-77-8,C10H20N2S4,296,1.3,,,,72,,,,,,2,2,,,,,,,,,,,,G(1) & HEPA(2),
DISULFOTON,298-04-4,C8H19O2PS3,274,1.14,,,62,,,,,,,0.1,0.1,,,,,,,,,,,,G(1) & HEPA(2),
DIURON,330-54-1,C9H10Cl2N2O,232,,,,,154,,,,,,10,10,,,,,,,,,1,,,,
Diglyme,111-96-6,C6H14O3,134.18,0.937,,,162,-64,,,,,,,,1,,,,,,,,,,,,
DIMETHYL SULFOXIDE,67-68-5,C2H6OS,78.13,1.1004,,,189,18.5,,,,,,,,1,,,1,,,,,,,,,
DIPHENYL,92-52-4,C6H5C6H5,154.2,1.04,,,489°F,156°F,,,,,0.2,,1,1,,,,,,,,,,,,
DIPROPYLENE GLYCOL METHYL ETHER (DPGME),34590-94-8,CH3-(OC3H6)2-OH,148.2,0.948,,,190,-83,,,,,,,,1,,,,,,,1,,,,,
DISODIUM CITRATE,144-33-2,C6H6Na2O7,236.09,,,,,,,,,,,,,,,,,,,,,1,,,,
"1,3-DIVINYL BENZENE",108-57-6,C10H10,130,0.93,,,195,,10,10,,,,,50,1,,,,,,,,,,,,
DIVINYL BENZENE,1321-74-0 (mixed isomers),C10H10,,,,,,,,,,,,,,1,,,,,,,,,,,,
2-ETHOXY-1-PROPANOL,19089-47-5,,,,,,,,,,,,,,,2,,,,,,,,,,,,
2-ETHYLHEXANOL,104-76-7,C8H18O,130.23,,,,183-185,,,,,,,,,1,,,,,,,,,,,,
EMERY,1302-74-5,,102,4,,,2980,,,,,,,10,,,,,,,,,,1,,,,
ENDOSULFAN,115-29-7,C9H6Cl6O3S,404,1.74,,,,,,,,,,0.1,0.1,,,,,,,,,,,1,,EFA
EPICHLOROHYDRIN,106-89-8,C3H5ClO,93,1.18,,,115,,0.5,,3,,,,,2,,,,,,,,,,,,
ETHANE,74-84-0,C2H6,30,,,,-89,,,,,1200,,,,,,,,,,,,,,1,,EFA
ETHANEDITHIOL,,C2H6S2,94,,,,146,,,,,,,,,2,,,,,,,,,,,,
ETHANOLAMINE,141-43-5,C2H7NO,61,1.02,12.1,,170.5,,3,3,2,2.6,3,,8,2,,,,,,,,,,,,
ETHION,563-12-2,C9H22O4P2S4,384,1.22,,,,-13,,,,,,0.4,0.4,1,,,,,,,,,,,,
2-Ethoxy-1-propanol,19089-47-5,,,,,,,,,,,,,,,2,,,,,,,,,,,,
ETHYL ACETATE,141-78-6,C4H8O2,88,0.9,,,77,,400,400,400,3.9,400,,1400,1,,,,,,,,,,,,
ETHYL ACRYLATE,140-88-5,C5H8O2,100.1,0.92,,,211°F,,,,,,,,,1,,,,,,,,,,,,
ETHYL ALCOHOL,64-17-5,C2H6O,46,0.79,,,78,,1000,1000,500,84,1000,,1900,2,,,,,,,,,,,,
ETHYLAMINE,75-04-7,C2H7N,45,0.001932,,,16.5,,5,10,5,0.95,10,,18,2,,,,,,,,,,,,
ETHYLAMYL KETONE,541-85-5,C8H16O,138,0.82,,,157,,25,25,,6,25,,130,1,,,,,,,,,,,,
ETHYL BENZENE,100-41-4,C8H10,106,0.87,,,136,,100,100,100,2.3,100,,435,1,,,,,,,,,,,,
ETHYL BROMIDE,74-96-4,C2H5Br,108.97,1.47,,,38.4,-119,,,,,,,,,,,,2,,,,,,,,
ETHYL BUTYL KETONE,106-35-4,C7H14O,114,0.82,,,148,,50,50,,,50,,230,2,,,,,,,,,,,,
ETHYL CELLULOSE,9004-57-3,,,,,,,,,,,,,,,1,,,,,,,,,,,,
ETHYL CHLORIDE,75-00-3,C2H5Cl,65,0.002676,,,12,,1000,1000,9,4.2,,,,,,,,,,,,,,1,,EFA
ETHYL CYANOACRYLATE,,C6H7NO2,125,,,,Polymerize,,0.2,,,,,,,,,,,,,,,,,1,,EFA
ETHYL ETHER,60-29-7,C4H10O,74,0.71,,,34.5,,400,400,400,8.9,,,,,,,,,,,1,,,,,
ETHYLENE CHLOROHYDRIN,107-07-3,C2H5OCl,81,1.2,,,128.7,,1,,1,,C1,,C3,1,,,,,,,,,,,,
ETHYLENE DIAMINE,107-15-3,C2H8N2,60,0.91,,,117,,10,10,10,2.5,10,,25,1,,,,,,,,,,,,
ETHYL FORMATE,109-94-4,C3H6O2,74,0.92,,,49,,100,100,100,31,100,,300,2,,,,,,,,,,,,
ETHYL MERCAPTAN,75-08-1,C2H6S,62,0.84,,,36,,0.5,0.5,0.5,0,C0.5,,C1.3,1,,,,,,,,,,,,
ETHYL SILICATE,78-10-4,SiC8H20O4,208.33,0.94,,,166-169,-77,,,,,,,,1,,,,,,,,,,,,
ETHYLAMINE,75-04-7,C2H7N,45,0.001932,,,16.5,,5,10,5,0.95,10,,18,2,,,,,,,,,,,,
ETHYLAMYL KETONE,541-85-5,C8H16O,138,0.82,,,157,,25,25,,6,25,,130,1,,,,,,,,,,,,
ETHYLENE,74-85-1,C2H4,28.05,1.178,,zero,?103.7,?169.2,,,,,,,,2,,,,,,,,,,,,
ETHYLENE DIAMINE,107-15-3,C2H8N2,60,0.91,,,117,,10,10,10,2.5,10,,25,1,,,,,,,,,,,,
ETHYLENE DIBROMIDE,106-93-4,C2H4Br2,188,2.17,,,131,,5,,0.1,,0.045,,,2,,,,,,,,,,,,
ETHYLENE DICHLORIDE,107-06-2,C2H4Cl2,98.96,1.253,,1.80 D,84,-35,,,,,,,,1,,,,,,,,,,,,
ETHYLENE GLYCOL (AEROSOL),107-21-1,C2H6O2,62,1.11,,,197.5,,39.4,50,10,,,,,1,,,,1,,,,,,,,
ETHYLENE GLYCOL DINITRATE,,C2H4N2O6,152,1.49,,,114,,0.05,,0.05,,,,,1,,,,,,,,,,,,
ETHYLENE OXIDE,75-21-8,C2H4OCl2,44,0.001788,,,11,,1,1,1,430,0.1,,0.18,,,,,,,,,,1,,,
ETHYLENIMINE,151-56-4,C2H5N,43,0.83,,,55,,0.5,,0.5,1.5,,,,,,,,,,,,,,1,,EFA
EUCALYPTOLE,470-82-6,C10H18O,154,0.9225,,,176–177,1.5,,,,,,,,1,,,,,,,,,,,,
FENAMIPHOS,22224-92-6,C13H22NO3PS,303,1.14,,,,49,,,,,,0.1,0.1,,,,,,,,,,,1,,EFA
FENSULFOTHION,115-90-2,C11H17O4PS2,308,1.2,,,141,,,,,,,0.1,0.1,,,,,,,,,,,1,,EFA
FENTHION,55-38-9,C10H15O3PS2,278,1.25,,,87,,,,,,,0.2,,,,,,,,,,,,1,,EFA
FERBAM,14484-64-1,C9H18N3S6Fe,417,,,,,180,,,,,,10,10,1,,,,,,,,,,,,
FERROVANADIUM DUST,12604-58-9,FeV,107,,,,,,,,,,,1,1,,,,,,,,,1,,,,
FLUORIDE CARBONYL,353-50-4,COF2,66,,,,-83,,1,,0.1,0.14,0.1,,0.2,,,,,,,,,,1,,,
"FLUORIDES AEROSOLS, GAS, GASEOUS",,F,19,,,,,,,,,,,2.5,,,1,,,,,,,,,,,
FLUORIDES PARTICULATES,,F,19,,,,,,,2,,,,,,,,,,,,,,1,,,,
FLUORINE,7782-41-4,F2,38,0.001572,,,-187,,1,,0.1,0.14,0.1,,0.2,,,,,2,,,,,,,,
FLUOROTRICHLOROMETHANE,75-69-4,CCl3F,137,0.005688,,,24,,1000,,1000,5,C1000,,C5600,,,,,1,,,,,,,,
FONOFOS,944-22-9,C10H15OPS2,230,1.15,,,100,,,,,,,0.1,0.1,,,,,,,,,,,1,,EFA
FORMALDEHYDE SOL.37%,50-00-0,CH2O,30,1.08,,,,,,0.5,0.5,0.83,0.02,,,,,,,,1,,,,,,,
FORMAMIDE,75-12-7,CH3NO,45,1.13,,,200,,10,20,,,10,,18.5,,,,,,,,,,,1,,EFA
FORMIC ACID,64-18-6,CH2O2,46,1.22,2.38,,101,,5,,5,49,5,,9,2,2,,,,,,,,,,,
FURFURAL,98-01-1,C5H4O2,96,1.16,,,162,,2,,0.1,0.08,,,,1,,,,,,,,,,,,
FURFURYL ALCOHOL,98-00-0,C5H6O2,98,1.13,,,170,,10,10,10,8,10,,10,1,,,,,,,,,,,,
GALLIC ACID,,C7H6O5,170,,,,,222,,,,,,,,2,,,,,,,,,,,,
GASOLINE (50 – 100 octane),8006-61-9,,,0.72 – 0.76,,,34,,300,,,,,,,1,,,,,,,,,,,,
GLUTARALDEHYDE sol.50%,111-30-8,C5H8O2,100,1.1,3.1–4.5,,187,,,0.1,0.1,,C0.2,,C0.8,,,,,,,1,,,,,,
GLYCERIN MIST,56-81-5,C3H8O3,92,1.26,,,290,,,,,,,10,,1,,,,,,,,,,,,
GLYCIDOL,556-52-5,C3H6O2,74,1.12,,,Decomp,,2,25,50,,25,,75,1,,,,,,,,,,,,
GLYCOLONITRILE,107-16-4,C2H3NO,57.1,1.1,,,361°F,,,,,,C 2 ppm (15 minutes),,5,,,,,,,,,,1,,,
GRAPHITE (Natural),7782-42-5,C,,2.0 – 2.25,,,,,,,,,,2,2.5,,,,,,,,,1,,,,
2-HYDROXYPROPYL ACRYLATE,999-61-1,CH2=CHCOOCH2CHOHCH3,130.2,1.05,,,102.85,,,,,,0.5,,3,1,,,,,,,,,,,,
HAFNIUM and Cpds,7440-58-6,HF,,13.31,,,4602,,,,,,,0.5,0.5,,,,,,,,,1,,,,
HALOTHANE,151-67-7,C2HBrClF3,197,1.87,,,50,,50,,5,33,C2,,C16.2,,,,,,,,,,1,,,
HEPES,7365-45-9,C8H18N2O4S,238.3,,,,,234-238,,,,,,,,,,,,,,,,1,,,,
HEPTYLENE,68526-53-4,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Hex-3-yne,928-49-4,C6H10,82.14,0.723,,,81-82,-105,,,,,,,,1,,,,,,,,,,,,
n-HEPTANE,142-82-5,C7H16,100,0.68,,,98.5,,400,400,500,150,85,,350,1,,,,,,,,,,,,
HEXACHLOROBUTADIENE,87-68-3,C4Cl6,258,1.55,,,212,,0.02,,,,0.02,,0.24,1,,,,,,,,,,,,
HEXACHLORO CYCLOPENTADIENE,77-47-4,C5Cl6,270,1.71,,,239,,0.01,0.01,,0.03,0.01,,0.1,1,,,,,,,,,,,,
HEXAFLUOROACETONE,684-16-2,C3F6O,166,0.006912,,,-27,,0.1,0.1,,,0.1,,0.7,,,,,,,,,,1,,,
HEXAMETHYLENE DIISOCYANATE,822-06-0,C8H12N2O2,168,1.04,,,,,0.01,0.01,0.01,,0.01,,0.04,,,,,,,,,,1,,,
n-HEXANE,110-54-3,C6H14,86,0.66,,,69,,50,50,50,130,50,,180,1,,,,,,,,,,,,
HEXACHLOROETHANE,67-72-1,C2Cl6,237,,,,,185,1,1,,,1,,10,,,,,,,,,,,,A(1) & HP(2) ,
HEXACHLOROBUTADIENE,87-68-3,C4Cl6,C4Cl6,260.7,1.55,,419°F,,,,,,0.02 ppm,,(0.24,1,,,,,,,,,,,,
HEXAMETHYLDISILOXANE (HMDS),107-46-0,C6H18OSi2,162.38,0.764,,,101,?59,,,,,,,,,,,,,,,,,,1,,EFA
HEXANAL,66-25-1,C6H12O,101,0.8,,,119-124,< -20,,,,,,,,1,,,,,,,,,,,,
HEXYLENE,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"HMX (OCTAHYDRO-1,3,5,7-TETRANITRO-1,3,5,7-TETRAZOCINE)",2691-41-0,C4H8N8O8,,296,1.91,,,,276-286,,,,,,,1,1,1,1,1,1,1,1,,,,,EFI
N-HEXYLAMINE,111-26-2,C6H15N,101.19,0.77,,,131-132,-22.9,,,,,,,,1,,,,,,,,,,,,
"1,6-HEXANEDIAMINE",,C6H16N2,116,,,,24,,0.5,,,,,,,,,,,,,,,,,,A(1) & HP(2),
1-HEXENE,592-41-6,C6H12,84,,,,63.5,,30,,,,,,,2,,,,,,,,,,,,
SEC-HEXYL-ACETATE,108-84-9,C6H12O2,144,0.86,,,146,,50,50,50,,50,,300,1,,,,,,,,,,,,
HEXYLENE GLYCOL,107-41-5,C6H14O2,118,0.92,,,197,,25,,,50,C25,,C125,,,,,,,,,,,1,,EFA
HYDRAZINE,302-01-2,N2H4,34,1.01,,,113.5,,0.01,0.1,,,C0.03,,C0.04,,,,,,,,,,,1,,EFA
HYDROCHLORIC ACID,7647-01-0,HCl,36.5,,,,20.20%,,,,5,0.77,,,,,1,,,,,,,,,,,
HYDROFLUORIC ACID 40% AS F,7664-39-3,HF,20,,,,38.20%,,,,3,0.04,,,,,2,,,,,,,,,,,
HYDROGEN BROMIDE,10035-10-6,HBr,81,0.003372,,,-66.5,,,,2,2,C3,,C10,,2,,,,,,,,,,,
HYDROGEN CHLORIDE,7647-01-0,HCl,37,0.001524,0.01,1.03,-85,,5,,5,0.8,C5,,C7,,1,,,,,,,,,,,
HYDROGEN CYANIDE,74-90-8,HCN,27,0.69,<2.0,,26,,,2,10,0.58,,,,,,,,,,,,,1,,,
HYDROGEN FLUORIDE AS F,7664-39-3,HF,20,0.002232,,1.38,19.5,,,3,3,0.04,3,,2.5,,1,,,,,,,,,,,
HYDROGEN IODIDE,10034-85-2,HI,128,2.85,,0.38 D,–34.36,–50.80,,,,,,,,2,,,,,,,,,,,,
HYDROGEN PEROXIDE 90%,7722-84-1,H2O2,34,1.39,,1.03,152,,1,1,1,,1,,1.4,,1,,,,,,,,,,,
HYDROGEN SELENIDE,7/5/7783,H2Se,81,0.00336,,,-41,,0.05,0.02,0.05,0.3,0.05,,0.2,2,,,,,,,,,,,,
HYDROGEN SULFIDE,6/4/7783,H2S,34,0.001428,,,-60,,10,5,10,0.01,C10,,C15,2,,,2,,,,,,,,,
HYDROQUINONE,123-31-9,C6H6O2,110,1.3,,,287,172,,,,,,,,1,,,,,,,,,,,,
HYPOCHLOROUS ACID,7790-92-3,HClO,110,1.33,,,286,,,,,,,,,,,,,,,,,,,1,,EFA
INDENE,95-13-6,C9H8,53,0.997,,,182,,10,10,,0.02,10,,45,1,,,,,,,,,,,,
INDIUM & CPDS,7440-74-6,In,116,7.31,,,2080,,,,,,,0.1,0.1,,,,,,,,,1,,,,
INDOLE,120-72-9,C8H7N,117,"1,175",,"2,11",254,52,,,,,,,,,,,,,,,,,1,,,
IODINE,7553-56-2,I2,117,4.93,5.4,0,185,,,,,0.1,C0.1,,C1,,,,,1,,,,,,,,
IODOFORM,75-47-8,CHI3,393.73,4.008,,,217,123,,,,,,,,1,,,,1,,,,,,,,
IRON  Soluble salts as Fe,7553-56-2,,254,,,,,,,,,,,1,1,,,,,,,,,1,,,,
IRON(II) SULFATE,7720-78-7,FeSO4,152,2.84,,,,,,,,,,,,,,,,,,,,1,,,,
IRON(II) SULFATE HEPTAHYDRATE,7782-63-0,FeSO4.7(H2O),278.05,1.898,,,300,64,,,,,,,,,,,,,,,,1,,,,
IRON(II) SULFATE MONOHYDRATE,17375-41-6,FeSO4.H2O,169.92,,,,330,,,,,,,,,,,,,,,,,1,,,,
IRON(III) CHLORIDE,7705-08-0 ,FeCl3,162.2,2.898,,,315,306,,,,,,,,,,,,,,,,1,,,,
IRON(III) CHLORIDE HEXAHYDRATE,10025-77-1,FeCl3.6(H2O),270.3,,,,270.3,37,,,,,,,,,,,,,,,,1,,,,
ISOAMYL ACETATE,123-92-2,C7H14O2,130,0.87,7,,142,,100,100,,0.03,100,,525,1,,,,,,,,,,,,
ISOAMYL ALCOHOL,123-51-3,C5H12O,88,0.81 – 0.82,,,132,-117.2,100,100,100,0.04,100,,360,1,,,,,,,,,,,,
ISOAMYL ETHER,,C10H22O,158,,,,172,,,,,,,,,1,,,,,,,1,,,,,
ISOBUTANE,75-28-5,C4H10,58,0.002472,,,-11.73,,,,1000,,800,,1900,2,,,,,,,,,,,,
ISOBUTYL ACETATE,110-19-0,C6H12O2,116,0.87,,,117,,150,150,100,0.64,150,,700,1,,,,,,,,,,,,
ISOBUTYL ALCOHOL,78-83-1,C4H10O,74,0.8,,,108,,50,50,100,1.6,50,,150,1,,,,,,,,,,,,
ISOBUTYLAMINE,78-81-9,C4H11N,73,"0,74",,,66,-72,,,5,,,,,1,,,,,,,,,,,,
ISOBUTYRIC ACID,79-31-2,C4H8O2,88,"0,97",,,154,-74,,,,,,,,1,,,,,,,,,,,,
ISOFLURANE,26675-46-7,C3H2ClF5O,184.5,1.5,,,48.5,,,,,,,,,2,,,,,,,,,,,,
ISOOCTANE,540-84-1,C8H18,114,,,,99,,,,,,,,,1,,,,,,,,,,,,
ISOOCTYL ALCOHOL,,C8H18O,134,0.83,,,182,,50,50,,,50,,270,1,,,,,,,,,,,,
ISOOCTYL ALCOHOL mixed isomers,,C8H18O,134,0.83,,,182,,50,50,,,50,,270,1,,,,,,,,,,,,
ISOPENTANE,78-78-4,C5H12,72,,,,28,,,,1000,,,,,1,,,,,,,,,,,,
ISOPHORONE,78-59-1,C9H14O,138,0.92,,,215,,5,,2,0.2,4,,23,1,,,,,,,,,,,,
ISOPHORONE DIISOCYANATE,4098-71-9,C12H18N2O2,222,1.06,,,158,,0.01,0.01,0.01,,0.01,,0.05,!,,,,,,,,,,,,EFA
ISOPRENE,78-79-5,C5H8,68,,,,34,,,,,,,,,1,,,,,,,,,,,,
2-ISOPROPOXYETHANOL,109-59-1,C5H12O2,104,0.9,,,139,,25,25,5,,,,,1,,,,,,,,,,,,
ISOPROPYL ACETATE,108-21-4,C5H10O2,102,0.87,,,88,,250,250,200,2.7,,,,1,,,,,,,,,,,,
ISOPROPYL ALCOHOL,67-63-0,C3H8O,60,0.79,,,82.5,,400,,200,22,400,,980,2,,,,,,,,,,,,
ISOPROPYLAMINE,75-31-0,C3H8O,59,0.69,11.8,,34,,2,5,5,1.2,,,,2,,,,,,2,,,,,,
N-ISOPROPYLANILINE,768-52-5,C9H13N,135,0.93,,,206,,2,,,,2,,10,1,,,,,,,,,,,,
ISOPROPYL ETHER,108-20-3,C6H14O,102,0.73,,,68.5,,250,250,500,0.02,500,,2100,2,,,,,,,,,,,,
ISOPROPYL GLYCIDYL ETHER,4016-14-2,C6H12O2,116,0.92,,,127,,50,50,,,C50,,C240,1,,,,,,,1,,,,,
ISOVALERIC ACID,,C5H10O2,104,,,,176,,,,,,,,,1,,,,,,,,,,,,
KEROSENE,,,,0.78–0.8,,,,,,,,,,,,1,,,,,,,,,,,,
KETENE,463-51-4,C2H2O,42,0.00174,,,-56,,0.5,0.5,0.5,,0.5,,0.9,,,,,,,,,,1,,,
LACTIC ACID,50-21-5,C3H6O3,90,,,,123,53,,,,,,,,1,,,,,,,,,,,,
LEAD Inorganic Cpds,7439-92-1,Pb,,11.34,,,,,,,,,,0.05,0.05,,,,,,,,,1,,,,
LEAD ARSENATE,,Pb3(AsO4)2,,,,,,Decomp,,,,,,0.15,,,,,,,,,,1,,,,
LEAD CHROMATE (Basic),,Pb2OCrO4,,,,,,844,,,,,,0.05,,,,,,,,,,1,,,,
LINDANE,58-89-9,C6H6Cl6,288,1.85,,,,,,,,,,0.5,0.5,,,,,,,,,,1,,,
LITHIUM HYDRIDE,7580-67-8,LiH,8,0.78,,,Decomp,680,,,,,,0.03,0.03,,,,,,,,,1,,,,
LITHIUM bis(trifluoromethanesulphonyl)imide Basic information,90076-65-6,C2F6LiNO4S2,1334,,,,234-238,,,,,,,,,,,,,,,,,,,,A(1)& HEPA(2),
LPG (Liquified Petroluem Gas),68476-85-7,,42,0.00174,,,-0.6,,1000,,,,1000,,1800,,,,,,,,,,1,,,
MAGNESITE,546-93-0,MgCO3,84,2.96,,,,,,,,,,10,10,,,,,,,,,1,,,,
MAGNESIUM Oxide Fume,1309-48-4,MgO,40,3.58,10.3,,3568,,,,,,,10,,,,,,,,,,1,,,,
MALEIC ANHYDRIDE,108-31-6,C4H2O3,98,1.48,,,188,,0.25,,0.1,0.32,0.25,,1,,,,,,,,,,1,,,
MANGANESE and inorganic cpds,7439-96-5,Mn,55,7.2,,,,,,,,,,0.2,1,,,,,,,,,1,,,,
MANGANESE TETROXIDE,1317-35-7,Mn3O4,229,4.88,,,,1564,,,,,,,,,,,,,,,,1,,,,
MELAMINE,108-78-1,C3H6N6,126.12,1.574,,,345,,,,,,,,,1,,,,,,,,,,,,
MANGANESE CYCLOPENTALDIENYL TRICARBONYL,12079-65-1,C5H5Mn(CO)3,203,,,,,,,,,,,0.1,0.1,,,,,,,,,1,,,,
MERCAPTANS,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2-Mercaptoethanol,60-24-2,C2H6OS,78,1.11,,,157-158,-100,,,,,,,,1,,,,,,,,,,,,
MENTHOL,89-78-1,C10H20O,156,"0,89",,,212,43,,,,,,,,1,,,,,,,,,,,,
2-Mercaptomethyl benzimidazole,4344-85-8,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1-Methoxy-2-Propanol,107-98-2,C4H10O2,90.1,0.92,,,-96,120,,,,,,,,1,,,,,,,,,,,,
MERCURY & Inorganic Cpds Cold,7439-97-6,Hg,201,13.6,,,342,,,,0.01,,,0.03,0.05,,,1,,,,,,,,,,
MERCURY & AlkylCpds Cold,7439-97-6,Hg,201,13.6,,,342,,,,0.01,,,0.03,0.05,,,1,,,,,,,,,,
MERCURY & Aryl Cpds Cold,,Hg,,,,,,,,,,,,0.1,,,,1,,,,,,,,,,
MESITYL OXIDE,141-79-7,C6H10O,98,0.86,,,130,-53,15,15,25,0.45,10,,40,1,,,,,,,,,,,,
MERCURY(II) NITRATE,10045-94-0 ,Hg(NO3)2,324.7,4.3,,,,79,,,,,,,,,,1,,,,,,,,,,
MERCURY(II) NITRATE MONOHYDRATE,7783-34-8,Hg(NO3)2.H2O,342.62,4.3,,,,79,,,,,,,,,,1,,,,,,,,,,
METHANE,74-82-8,CH4,16,,,,-162,,,,,,,,,,,,,,,,,,,1,,EFA
METHOMYL,16752-77-5,C5H10N2O2S,162,1.29,,,,172ºF,,,,,,2.5,2.5,,,,,,,,,,,,A(1)  & HP (2),
METHOXYPHENOL,150-76-5,C7H8O2,124,1.55,,,246,,,,,,,5,5,1,,,,,,,,,,,,
3-Methoxypropionitrile,110-67-8,C4H7NO,85,0.94,,,,,,,,,,,,1,,,,,,,,,,,,
METHYL ACETATE,79-20-9,C3H6O2,74,0.93,,,58,,200,200,200,4.6,200,,610,2,,,,,,,,,,,,
METHYL ACETYLENE,74-99-7,C3H4,40,0.001692,,,-23,,1000,1000,1000,,1000,,1650,2,,,,,,,,,,,,
METHYL ACETYLENE PROPADIENE MIX,59355-75-8,,40,0.001776,,,-34.5,,1000,,1000,,1000,,1800,2,,,,,,,,,,,,
METHYL ACRYLATE,96-33-3,C4H5O2,86,0.96,,,66,,2,10,2,0.05,10,,35,2,,,,,,,,,,,,
METHYL ACRYLONITRILE,126-98-7,C4H5N,67,0.8,,,90,,1,1,,7,1,,3,2,,,,,,,,,,,,
METHYL ALCOHOL,67-56-1,CH4O,32,0.79,,,65,,200,200,200,100,200,,260,2,,,,,,,,,,,,
METHYLAMINE,74-98-5,CH5N,31,0.001296,,,6.3,,5,,10,3.2,10,,12,2,,,,,,,,,,,,
N-METHYL ANILINE,100-61-8,C7H9N,107,0.99,,,194,,0.5,0.5,0.5,1.7,0.5,,1,1,,,,,,,,,,,,
METHYL BROMIDE,74-83-9,CH3Br,95,0.004032,,,3.6,,1,5,,,,,,,,,,,,,,,,1,,EFA
METHYL-tert-BUTYL ETHER,1634-04-4,C4H12O,88,0.74,,,55,-109,,,,,,,,,,,,,,,1,,,,,
METHYL BUTYL KETONE,591-78-6,C6H12O,100,0.81,,,127,,5,5,5,0.76,1,,4,1,,,,,,,,,,,,
METHYL CELLOSOLVE ACETATE,32718-56-2,C5H10O3,,,,,,,,,,,,,,1,,,,,,,,,,,,
METHYL CELLOSOLVE,109-86-4,C3H8O2,76,0.96,,,124.5,,5,5,5,2.3,0.1,,0.3,1,,,,,,,,,,,,
METHYL CHLORIDE,74-87-3,CH3Cl,51,0.002136,,,-24,,50,50,50,10,,,,,,,,,,,,,1,,,
METHYL CHLOROFORM,71-55-6,C2H3Cl3,133,1.34,,,74,,350,300,200,120,C350,,C1900,1,,,,,,,,,,,,
METHYL CYCLOHEXANE,108-87-2,C7H14,98,0.77,,,100,,400,400,500,630,400,,1600,1,,,,,,,,,,,,
METHYL CYCLOHEXANOL,25639-42-3,C7H14O,114,0.92,,,155,,50,50,,500,50,,235,1,,,,,,,,,,,,
METHYL CYCLOHEXANONE,583-60-8,C7H12O,112,0.93,,,165,,50,50,50,,50,,230,1,,,,,,,,,,,,
METHYLENE CHLORIDE,75-09-2,CH2Cl2,85,1.33,,,40,,50,100,100,250,,,,,,,,,,,,,1,,,
"4,4’-METHYLENEBIS(2-CHLOROANILINE)",101-14-4,C13H12Cl2N2,266,1.44,,,,110,0.01,,,,,,0.003,1,,,,,,,,,,,,
METHYLCYCLOHEXYL ISOCYANATE,,,,,,,,,0.01,,,,,,,1,,,,,,,,,,,,
METHYL ETHER,115-10-6,C2H6O,46,,,,23,,,,1000,,,,,2,,,,,,,1,,,,,
METHYL ETHYL KETONE,78-93-3,C4H80,72,0.81,,,79.5,,200,200,200,5.4,200,,590,1,,,,,,,,,,,,
METHYL ETHYL KETONE PEROXIDE,1338-23-4,C8H16O2,,1.12,,,,,0.2,,,,C0.2,,C1.5,,,,,,,,,,1,,,
METHYL FORMATE,107-31-3,C2H4O2,60,0.98,,,32,,100,100,50,600,100,,250,2,,,,,,,,,,,,
METHYL IODIDE,74-88-4,CH3I,142,2.28,,,42,,2,,0.3,,2,,10,,,,,1,,,,,,,,
METHYL ISOAMYL KETONE,110-12-3,C7H14O,114,0.81,,,144,,50,50,20,0.01,50,,240,,,,,,,,,,1,,,
METHYL ISOBUTYL CARBINOL,108-11-2,C6H14O,102,0.81,,,132,,25,25,25,0.07,25,,100,1,,,,,,,,,,,,
METHYL ISOBUTYL KETONE,108-10-1,C6H12O,100,0.8,,,116,,50,50,100,0.68,50,,205,1,,,,,,,,,,,,
METHYL ISOCYANATE,624-83-9,C2H3NO,57,0.96,,,39,,0.02,0.02,0.02,2.1,0.02,,0.05,,,,,,,,,,,1,,EFA
METHYL ISOPROPYL KETONE,563-80-4,C5H10O,86,0.81,,,93,,200,200,,1.9,200,,705,1,,,,,,,,,,,,
METHYL ISOTHIOCYANATE,551-61-6,C2H3NS,73,,,,120,,,,,,,,,,,,,,,,,,,1,,EFA
METHYL MERCAPTAN,74-93-1,CH4S,48,1.001992,,,6,,0.5,0.5,0.5,,C0.5,,C1,1,,,,,,,,,,,,
METHYL METHACRYLATE,80-62-6,C5H8O2,100,0.94,,,101,,100,100,50,,100,,410,1,,,,,,,,,,,,
